Id,SalePrice
1461,121985.96666274816
1462,156602.9020457812
1463,181857.7448035566
1464,188347.21760658984
1465,181269.4468460351
1466,179524.1412979509
1467,171880.55395034884
1468,168227.31095797961
1469,180462.9758521949
1470,129640.23562934335
1471,199862.59546858235
1472,90071.45861257648
1473,100973.43935717091
1474,149588.70537499036
1475,117513.4154129183
1476,365790.0485766766
1477,251386.1201700709
1478,296316.79242543277
1479,282569.13097776764
1480,438940.2829799112
1481,309622.5742783333
1482,202741.9238033969
1483,183432.87660716719
1484,171792.47744642544
1485,172390.80601209324
1486,194085.25922190753
1487,317140.0565208141
1488,232391.53385866038
1489,200375.55812540333
1490,222077.13999719155
1491,193381.97988977924
1492,93547.43388036455
1493,183515.63253367261
1494,311093.8633936442
1495,283622.9311220823
1496,236664.4613951415
1497,177793.0755329305
1498,161125.37693469302
1499,156446.09244125226
1500,155977.4538327036
1501,174380.4468121079
1502,154364.52302161528
1503,286761.34382317244
1504,225847.38396635425
1505,226498.25447431582
1506,173682.7571639684
1507,258830.63160300165
1508,194299.58504765132
1509,165140.1097568547
1510,147225.87543264183
1511,145751.8373135755
1512,175869.08013874953
1513,141687.966256184
1514,151369.97851045226
1515,199387.3599720912
1516,154276.43798114907
1517,154702.14916767928
1518,135110.33613257774
1519,228365.3414266746
1520,135519.9988100242
1521,137084.4769663798
1522,170074.21001347553
1523,116892.71032208948
1524,122787.12236441429
1525,126011.66658794621
1526,123128.66037096089
1527,103522.63052208404
1528,131124.49131329003
1529,146361.41997733735
1530,171008.18643273087
1531,123178.77176046475
1532,96818.45954516677
1533,145465.8277159961
1534,118949.77701741699
1535,154937.98106864005
1536,115476.37087662272
1537,72586.82133309738
1538,145044.29828895553
1539,187225.2458309007
1540,98879.94049733572
1541,141082.40510790548
1542,140845.41392215938
1543,186309.85413634978
1544,76038.03705686438
1545,102418.99068687118
1546,128056.20983758778
1547,140662.47552553282
1548,131698.06735733472
1549,116165.35041106239
1550,130346.1208992787
1551,117504.91016531993
1552,137291.78604511134
1553,135738.02731687232
1554,117404.90114676573
1555,163757.7369281937
1556,85702.57147081189
1557,104802.39159335248
1558,94124.18319235653
1559,82418.30430819296
1560,123501.55254908526
1561,136905.29625284893
1562,129847.08283465658
1563,121214.0196956883
1564,169069.32128021144
1565,149179.09655264448
1566,220139.96103538817
1567,83691.26345918901
1568,222402.41934655
1569,151952.82686203148
1570,143586.3548520432
1571,123496.99848389304
1572,142647.03002594472
1573,237446.06316125146
1574,113756.29918270177
1575,214660.7422571471
1576,233539.1182322225
1577,194671.35251250005
1578,146367.27016435398
1579,147265.86986066613
1580,188381.1201389184
1581,150996.5742608314
1582,126215.80313955579
1583,315441.6911489992
1584,238936.66262511205
1585,143264.76372332458
1586,75864.1177469098
1587,103115.55833970482
1588,144472.58381283956
1589,111852.33352826496
1590,129836.06203677446
1591,99830.23302949265
1592,126658.89562643704
1593,117706.79577807829
1594,125157.48148404398
1595,114532.25603404483
1596,225580.54067194334
1597,188045.41424528422
1598,195233.1699347858
1599,173622.0336675708
1600,168576.29586314515
1601,67002.15655479196
1602,113001.04066395927
1603,71034.85697623203
1604,278048.3726195878
1605,245143.6872801291
1606,166938.82607690457
1607,161815.49860089607
1608,212468.19684457366
1609,186094.78683120958
1610,154650.1152074701
1611,147362.56677634257
1612,178675.87219812628
1613,172311.90017229324
1614,123521.73814865068
1615,87834.25878413302
1616,80455.83546318933
1617,91338.29742849078
1618,125846.8450671044
1619,139633.54035565178
1620,162239.57278118047
1621,135425.2393998521
1622,143583.01382022508
1623,279792.1263820728
1624,221722.48072017301
1625,125795.19393615473
1626,162031.2508293759
1627,189368.1242167651
1628,279416.12664897897
1629,171833.90653325562
1630,343619.1149464679
1631,197794.1756332693
1632,231482.25142755668
1633,164414.60729606941
1634,182084.7422395356
1635,177290.30588795032
1636,156869.01266318746
1637,190390.7837684905
1638,197185.71738424705
1639,186814.0419784205
1640,251051.19923453624
1641,172029.86872871776
1642,231611.87744138332
1643,227063.1033445264
1644,223097.90163510933
1645,204555.94680522213
1646,157350.3770236064
1647,160189.07311290444
1648,138510.04231984133
1649,137049.27487657953
1650,114038.46103804788
1651,119851.5297570307
1652,95145.38675389963
1653,92679.58351193932
1654,150814.0607293013
1655,141492.84801540858
1656,145678.31708562153
1657,151668.69781203088
1658,151393.79219282928
1659,125838.54342965197
1660,151740.27948389415
1661,462985.74714525085
1662,368689.1533881899
1663,381148.9173832631
1664,426770.8325250974
1665,307537.0067236137
1666,333857.44684616145
1667,390070.226694816
1668,346624.69505123695
1669,289421.07132021536
1670,350195.5918517778
1671,271224.10188862676
1672,429325.21198290394
1673,295721.37865456904
1674,248614.4606711696
1675,195441.63246291236
1676,195743.5142707691
1677,214050.50688749715
1678,472420.2652974343
1679,383809.2562612744
1680,320746.033749151
1681,254142.39542857077
1682,305045.3841860258
1683,184954.60331072705
1684,172482.62637108777
1685,173536.53527846554
1686,174672.3895162834
1687,163711.2405297646
1688,188320.1837998953
1689,188330.66505419672
1690,184844.71816948845
1691,175562.58143204692
1692,247827.87372675582
1693,160594.34744119464
1694,179910.40083127207
1695,160453.60667102196
1696,277686.05089020805
1697,162319.56262837804
1698,353481.70839424245
1699,331229.44316888327
1700,251456.7762158577
1701,261106.17497868583
1702,255111.66833785686
1703,253902.38870476434
1704,292287.70239916304
1705,228522.9214091168
1706,366302.8752156056
